"Statistic","Year","Fuel Type","UNIT","VALUE"
"Fuels Used in Electricity Production","2005","Gasoil/diesel/DERV","ktoe","68"
"Fuels Used in Electricity Production","2005","Natural gas","ktoe","2044"
"Fuels Used in Electricity Production","2005","Sum of all renewable energies","ktoe","180"
"Fuels Used in Electricity Production","2005","Hydro","ktoe","54"
"Fuels Used in Electricity Production","2005","Wind","ktoe","96"
"Fuels Used in Electricity Production","2005","Biomass","ktoe","2"
"Fuels Used in Electricity Production","2005","Landfill gas","ktoe","25"
"Fuels Used in Electricity Production","2005","Biogas","ktoe","2"
"Fuels Used in Electricity Production","2005","Solar Photovoltaic","ktoe","0"
"Fuels Used in Electricity Production","2005","Non-Renewable Waste","ktoe","0"
"Fuels Used in Electricity Production","2005","Electricity net Imports","ktoe","176"
"Fuels Used in Electricity Production","2006","Sum of all fuel products","ktoe","5163"
"Fuels Used in Electricity Production","2006","Sum of all coal products","ktoe","1217"
"Fuels Used in Electricity Production","2006","Bituminous coal","ktoe","1217"
"Fuels Used in Electricity Production","2006","Sum of all peat products","ktoe","462"
"Fuels Used in Electricity Production","2006","Milled peat","ktoe","462"
"Fuels Used in Electricity Production","2006","Sod peat","ktoe","0"
"Fuels Used in Electricity Production","2006","Sum of all petroleum products","ktoe","686"
"Fuels Used in Electricity Production","2006","Refinery gas","ktoe","7"
"Fuels Used in Electricity Production","2006","Fuel Oil","ktoe","625"
"Fuels Used in Electricity Production","2006","LPG","ktoe","0"
"Fuels Used in Electricity Production","2006","Gasoil/diesel/DERV","ktoe","54"
"Fuels Used in Electricity Production","2006","Natural gas","ktoe","2411"
"Fuels Used in Electricity Production","2006","Sum of all renewable energies","ktoe","233"
"Fuels Used in Electricity Production","2006","Hydro","ktoe","62"
"Fuels Used in Electricity Production","2006","Wind","ktoe","139"
"Fuels Used in Electricity Production","2006","Biomass","ktoe","3"
"Fuels Used in Electricity Production","2006","Landfill gas","ktoe","25"
"Fuels Used in Electricity Production","2006","Biogas","ktoe","4"
"Fuels Used in Electricity Production","2006","Solar Photovoltaic","ktoe","0"
"Fuels Used in Electricity Production","2006","Non-Renewable Waste","ktoe","0"
"Fuels Used in Electricity Production","2006","Electricity net Imports","ktoe","153"
"Fuels Used in Electricity Production","2007","Sum of all fuel products","ktoe","5148"
"Fuels Used in Electricity Production","2007","Sum of all coal products","ktoe","1172"
"Fuels Used in Electricity Production","2007","Bituminous coal","ktoe","1172"
"Fuels Used in Electricity Production","2007","Sum of all peat products","ktoe","457"
"Fuels Used in Electricity Production","2007","Milled peat","ktoe","457"
"Fuels Used in Electricity Production","2007","Sod peat","ktoe","0"
"Fuels Used in Electricity Production","2007","Sum of all petroleum products","ktoe","398"
"Fuels Used in Electricity Production","2007","Refinery gas","ktoe","8"
"Fuels Used in Electricity Production","2007","Fuel Oil","ktoe","376"
"Fuels Used in Electricity Production","2007","LPG","ktoe","0"
"Fuels Used in Electricity Production","2007","Gasoil/diesel/DERV","ktoe","14"
"Fuels Used in Electricity Production","2007","Natural gas","ktoe","2737"
"Fuels Used in Electricity Production","2007","Sum of all renewable energies","ktoe","270"
"Fuels Used in Electricity Production","2007","Hydro","ktoe","57"
"Fuels Used in Electricity Production","2007","Wind","ktoe","168"
"Fuels Used in Electricity Production","2007","Biomass","ktoe","2"
"Fuels Used in Electricity Production","2007","Landfill gas","ktoe","36"
"Fuels Used in Electricity Production","2007","Biogas","ktoe","5"
"Fuels Used in Electricity Production","2007","Solar Photovoltaic","ktoe","0"
"Fuels Used in Electricity Production","2007","Non-Renewable Waste","ktoe","0"
"Fuels Used in Electricity Production","2007","Electricity net Imports","ktoe","114"
"Fuels Used in Electricity Production","2008","Sum of all fuel products","ktoe","5115"
"Fuels Used in Electricity Production","2008","Sum of all coal products","ktoe","991"
"Fuels Used in Electricity Production","2008","Bituminous coal","ktoe","991"
"Fuels Used in Electricity Production","2008","Sum of all peat products","ktoe","578"
"Fuels Used in Electricity Production","2008","Milled peat","ktoe","578"
"Fuels Used in Electricity Production","2008","Sod peat","ktoe","0"
"Fuels Used in Electricity Production","2008","Sum of all petroleum products","ktoe","355"
"Fuels Used in Electricity Production","2008","Refinery gas","ktoe","5"
"Fuels Used in Electricity Production","2008","Fuel Oil","ktoe","339"
"Fuels Used in Electricity Production","2008","LPG","ktoe","0"
"Fuels Used in Electricity Production","2008","Gasoil/diesel/DERV","ktoe","11"
"Fuels Used in Electricity Production","2008","Natural gas","ktoe","2811"
"Fuels Used in Electricity Production","2008","Sum of all renewable energies","ktoe","341"
"Fuels Used in Electricity Production","2008","Hydro","ktoe","83"
"Fuels Used in Electricity Production","2008","Wind","ktoe","207"
"Fuels Used in Electricity Production","2008","Biomass","ktoe","6"
"Fuels Used in Electricity Production","2008","Landfill gas","ktoe","39"
"Fuels Used in Electricity Production","2008","Biogas","ktoe","5"
"Fuels Used in Electricity Production","2008","Solar Photovoltaic","ktoe","0"
"Fuels Used in Electricity Production","2008","Non-Renewable Waste","ktoe","0"
"Fuels Used in Electricity Production","2008","Electricity net Imports","ktoe","39"
"Fuels Used in Electricity Production","2009","Sum of all fuel products","ktoe","4774"
"Fuels Used in Electricity Production","2009","Sum of all coal products","ktoe","775"
"Fuels Used in Electricity Production","2009","Bituminous coal","ktoe","775"
"Fuels Used in Electricity Production","2009","Sum of all peat products","ktoe","567"
"Fuels Used in Electricity Production","2009","Milled peat","ktoe","567"
"Fuels Used in Electricity Production","2009","Sod peat","ktoe","0"
"Fuels Used in Electricity Production","2009","Sum of all petroleum products","ktoe","214"
"Fuels Used in Electricity Production","2009","Refinery gas","ktoe","6"
"Fuels Used in Electricity Production","2009","Fuel Oil","ktoe","200"
"Fuels Used in Electricity Production","2009","LPG","ktoe","0"
"Fuels Used in Electricity Production","2009","Gasoil/diesel/DERV","ktoe","8"
"Fuels Used in Electricity Production","2009","Natural gas","ktoe","2759"
"Fuels Used in Electricity Production","2009","Sum of all renewable energies","ktoe","393"
"Fuels Used in Electricity Production","2009","Hydro","ktoe","78"
"Fuels Used in Electricity Production","2009","Wind","ktoe","254"
"Fuels Used in Electricity Production","2009","Biomass","ktoe","13"
"Fuels Used in Electricity Production","2009","Landfill gas","ktoe","42"
"Fuels Used in Electricity Production","2009","Biogas","ktoe","5"
"Fuels Used in Electricity Production","2009","Solar Photovoltaic","ktoe","0"
"Fuels Used in Electricity Production","2009","Non-Renewable Waste","ktoe","0"
"Fuels Used in Electricity Production","2009","Electricity net Imports","ktoe","66"
"Fuels Used in Electricity Production","2010","Sum of all fuel products","ktoe","4929"
"Fuels Used in Electricity Production","2010","Sum of all coal products","ktoe","868"
"Fuels Used in Electricity Production","2010","Bituminous coal","ktoe","868"
"Fuels Used in Electricity Production","2010","Sum of all peat products","ktoe","491"
"Fuels Used in Electricity Production","2010","Milled peat","ktoe","491"
"Fuels Used in Electricity Production","2010","Sod peat","ktoe","0"
"Fuels Used in Electricity Production","2010","Sum of all petroleum products","ktoe","137"
"Fuels Used in Electricity Production","2010","Refinery gas","ktoe","7"
"Fuels Used in Electricity Production","2010","Fuel Oil","ktoe","104"
"Fuels Used in Electricity Production","2010","LPG","ktoe","0"
"Fuels Used in Electricity Production","2010","Gasoil/diesel/DERV","ktoe","26"
"Fuels Used in Electricity Production","2010","Natural gas","ktoe","3025"
"Fuels Used in Electricity Production","2010","Sum of all renewable energies","ktoe","368"
"Fuels Used in Electricity Production","2010","Hydro","ktoe","52"
"Fuels Used in Electricity Production","2010","Wind","ktoe","242"
"Fuels Used in Electricity Production","2010","Biomass","ktoe","24"
"Fuels Used in Electricity Production","2010","Landfill gas","ktoe","44"
"Fuels Used in Electricity Production","2010","Biogas","ktoe","6"
"Fuels Used in Electricity Production","2010","Solar Photovoltaic","ktoe","0"
"Fuels Used in Electricity Production","2010","Non-Renewable Waste","ktoe","0"
"Fuels Used in Electricity Production","2010","Electricity net Imports","ktoe","40"
"Fuels Used in Electricity Production","2011","Sum of all fuel products","ktoe","4505"
"Fuels Used in Electricity Production","2011","Sum of all coal products","ktoe","913"
"Fuels Used in Electricity Production","2011","Bituminous coal","ktoe","913"
"Fuels Used in Electricity Production","2011","Sum of all peat products","ktoe","480"
"Fuels Used in Electricity Production","2011","Milled peat","ktoe","480"
"Fuels Used in Electricity Production","2011","Sod peat","ktoe","0"
"Fuels Used in Electricity Production","2011","Sum of all petroleum products","ktoe","55"
"Fuels Used in Electricity Production","2011","Refinery gas","ktoe","6"
"Fuels Used in Electricity Production","2011","Fuel Oil","ktoe","40"
"Fuels Used in Electricity Production","2011","LPG","ktoe","0"
"Fuels Used in Electricity Production","2011","Gasoil/diesel/DERV","ktoe","8"
"Fuels Used in Electricity Production","2011","Natural gas","ktoe","2499"
"Fuels Used in Electricity Production","2011","Sum of all renewable energies","ktoe","516"
"Fuels Used in Electricity Production","2011","Hydro","ktoe","61"
"Fuels Used in Electricity Production","2011","Wind","ktoe","377"
"Fuels Used in Electricity Production","2011","Biomass","ktoe","30"
"Fuels Used in Electricity Production","2011","Landfill gas","ktoe","44"
"Fuels Used in Electricity Production","2011","Biogas","ktoe","4"
"Fuels Used in Electricity Production","2011","Solar Photovoltaic","ktoe","0"
"Fuels Used in Electricity Production","2011","Non-Renewable Waste","ktoe","0"
"Fuels Used in Electricity Production","2011","Electricity net Imports","ktoe","42"
"Fuels Used in Electricity Production","2012","Sum of all fuel products","ktoe","4623"
"Fuels Used in Electricity Production","2012","Sum of all coal products","ktoe","1160"
"Fuels Used in Electricity Production","2012","Bituminous coal","ktoe","1160"
"Fuels Used in Electricity Production","2012","Sum of all peat products","ktoe","557"
"Fuels Used in Electricity Production","2012","Milled peat","ktoe","557"
"Fuels Used in Electricity Production","2012","Sod peat","ktoe","0"
"Fuels Used in Electricity Production","2012","Sum of all petroleum products","ktoe","56"
"Fuels Used in Electricity Production","2012","Refinery gas","ktoe","9"
"Fuels Used in Electricity Production","2012","Fuel Oil","ktoe","39"
"Fuels Used in Electricity Production","2012","LPG","ktoe","0"
"Fuels Used in Electricity Production","2012","Gasoil/diesel/DERV","ktoe","7"
"Fuels Used in Electricity Production","2012","Natural gas","ktoe","2270"
"Fuels Used in Electricity Production","2012","Sum of all renewable energies","ktoe","526"
"Fuels Used in Electricity Production","2012","Hydro","ktoe","69"
"Fuels Used in Electricity Production","2012","Wind","ktoe","345"
"Fuels Used in Electricity Production","2012","Biomass","ktoe","65"
"Fuels Used in Electricity Production","2012","Landfill gas","ktoe","43"
"Fuels Used in Electricity Production","2012","Biogas","ktoe","4"
"Fuels Used in Electricity Production","2012","Solar Photovoltaic","ktoe","0"
"Fuels Used in Electricity Production","2012","Non-Renewable Waste","ktoe","18"
"Fuels Used in Electricity Production","2012","Electricity net Imports","ktoe","36"
"Fuels Used in Electricity Production","2013","Sum of all fuel products","ktoe","4396"
"Fuels Used in Electricity Production","2013","Sum of all coal products","ktoe","970"
"Fuels Used in Electricity Production","2013","Bituminous coal","ktoe","970"
"Fuels Used in Electricity Production","2013","Sum of all peat products","ktoe","507"
"Fuels Used in Electricity Production","2013","Milled peat","ktoe","507"
"Fuels Used in Electricity Production","2013","Sod peat","ktoe","0"
"Fuels Used in Electricity Production","2013","Sum of all petroleum products","ktoe","43"
"Fuels Used in Electricity Production","2013","Refinery gas","ktoe","5"
"Fuels Used in Electricity Production","2013","Fuel Oil","ktoe","33"
"Fuels Used in Electricity Production","2013","LPG","ktoe","1"
"Fuels Used in Electricity Production","2013","Gasoil/diesel/DERV","ktoe","4"
"Fuels Used in Electricity Production","2013","Natural gas","ktoe","2098"
"Fuels Used in Electricity Production","2013","Sum of all renewable energies","ktoe","561"
"Fuels Used in Electricity Production","2013","Hydro","ktoe","52"
"Fuels Used in Electricity Production","2013","Wind","ktoe","391"
"Fuels Used in Electricity Production","2013","Biomass","ktoe","77"
"Fuels Used in Electricity Production","2013","Landfill gas","ktoe","38"
"Fuels Used in Electricity Production","2013","Biogas","ktoe","4"
"Fuels Used in Electricity Production","2013","Solar Photovoltaic","ktoe","0"
"Fuels Used in Electricity Production","2013","Non-Renewable Waste","ktoe","23"
"Fuels Used in Electricity Production","2013","Electricity net Imports","ktoe","193"
"Fuels Used in Electricity Production","2014","Sum of all fuel products","ktoe","4364"
"Fuels Used in Electricity Production","2014","Sum of all coal products","ktoe","940"
"Fuels Used in Electricity Production","2014","Bituminous coal","ktoe","940"
"Fuels Used in Electricity Production","2014","Sum of all peat products","ktoe","550"
"Fuels Used in Electricity Production","2014","Milled peat","ktoe","550"
"Fuels Used in Electricity Production","2014","Sod peat","ktoe","0"
"Fuels Used in Electricity Production","2014","Sum of all petroleum products","ktoe","60"
"Fuels Used in Electricity Production","2014","Refinery gas","ktoe","5"
"Fuels Used in Electricity Production","2014","Fuel Oil","ktoe","47"
"Fuels Used in Electricity Production","2014","LPG","ktoe","1"
"Fuels Used in Electricity Production","2014","Gasoil/diesel/DERV","ktoe","8"
"Fuels Used in Electricity Production","2014","Natural gas","ktoe","1973"
"Fuels Used in Electricity Production","2014","Sum of all renewable energies","ktoe","631"
"Fuels Used in Electricity Production","2014","Hydro","ktoe","61"
"Fuels Used in Electricity Production","2014","Wind","ktoe","442"
"Fuels Used in Electricity Production","2014","Biomass","ktoe","84"
"Fuels Used in Electricity Production","2014","Landfill gas","ktoe","39"
"Fuels Used in Electricity Production","2014","Biogas","ktoe","5"
"Fuels Used in Electricity Production","2014","Solar Photovoltaic","ktoe","0"
"Fuels Used in Electricity Production","2014","Non-Renewable Waste","ktoe","25"
"Fuels Used in Electricity Production","2014","Electricity net Imports","ktoe","185"
"Fuels Used in Electricity Production","2015","Sum of all fuel products","ktoe","4498"
"Fuels Used in Electricity Production","2015","Sum of all coal products","ktoe","1126"
"Fuels Used in Electricity Production","2015","Bituminous coal","ktoe","1126"
"Fuels Used in Electricity Production","2015","Sum of all peat products","ktoe","554"
"Fuels Used in Electricity Production","2015","Milled peat","ktoe","554"
"Fuels Used in Electricity Production","2015","Sod peat","ktoe","0"
"Fuels Used in Electricity Production","2015","Sum of all petroleum products","ktoe","86"
"Fuels Used in Electricity Production","2015","Refinery gas","ktoe","9"
"Fuels Used in Electricity Production","2015","Fuel Oil","ktoe","58"
"Fuels Used in Electricity Production","2015","LPG","ktoe","1"
"Fuels Used in Electricity Production","2015","Gasoil/diesel/DERV","ktoe","19"
"Fuels Used in Electricity Production","2015","Natural gas","ktoe","1899"
"Fuels Used in Electricity Production","2015","Sum of all renewable energies","ktoe","750"
"Fuels Used in Electricity Production","2015","Hydro","ktoe","69"
"Fuels Used in Electricity Production","2015","Wind","ktoe","565"
"Fuels Used in Electricity Production","2015","Biomass","ktoe","69"
"Fuels Used in Electricity Production","2015","Landfill gas","ktoe","42"
"Fuels Used in Electricity Production","2015","Biogas","ktoe","5"
"Fuels Used in Electricity Production","2015","Solar Photovoltaic","ktoe","0"
"Fuels Used in Electricity Production","2015","Non-Renewable Waste","ktoe","25"
"Fuels Used in Electricity Production","2015","Electricity net Imports","ktoe","58"
"Fuels Used in Electricity Production","2016","Sum of all fuel products","ktoe","4746"
"Fuels Used in Electricity Production","2016","Sum of all coal products","ktoe","1103"
"Fuels Used in Electricity Production","2016","Bituminous coal","ktoe","1103"
"Fuels Used in Electricity Production","2016","Sum of all peat products","ktoe","522"
"Fuels Used in Electricity Production","2016","Milled peat","ktoe","522"
"Fuels Used in Electricity Production","2016","Sod peat","ktoe","0"
"Fuels Used in Electricity Production","2016","Sum of all petroleum products","ktoe","68"
"Fuels Used in Electricity Production","2016","Refinery gas","ktoe","5"
"Fuels Used in Electricity Production","2016","Fuel Oil","ktoe","52"
"Fuels Used in Electricity Production","2016","LPG","ktoe","1"
"Fuels Used in Electricity Production","2016","Gasoil/diesel/DERV","ktoe","11"
"Fuels Used in Electricity Production","2016","Natural gas","ktoe","2342"
"Fuels Used in Electricity Production","2016","Sum of all renewable energies","ktoe","748"
"Fuels Used in Electricity Production","2016","Hydro","ktoe","59"
"Fuels Used in Electricity Production","2016","Wind","ktoe","529"
"Fuels Used in Electricity Production","2016","Biomass","ktoe","114"
"Fuels Used in Electricity Production","2016","Landfill gas","ktoe","40"
"Fuels Used in Electricity Production","2016","Biogas","ktoe","7"
"Fuels Used in Electricity Production","2016","Solar Photovoltaic","ktoe","1"
"Fuels Used in Electricity Production","2016","Non-Renewable Waste","ktoe","25"
"Fuels Used in Electricity Production","2016","Electricity net Imports","ktoe","-61"
"Fuels Used in Electricity Production","2017","Sum of all fuel products","ktoe","4696"
"Fuels Used in Electricity Production","2017","Sum of all coal products","ktoe","867"
"Fuels Used in Electricity Production","2017","Bituminous coal","ktoe","867"
"Fuels Used in Electricity Production","2017","Sum of all peat products","ktoe","488"
"Fuels Used in Electricity Production","2017","Milled peat","ktoe","488"
"Fuels Used in Electricity Production","2017","Sod peat","ktoe","0"
"Fuels Used in Electricity Production","2017","Sum of all petroleum products","ktoe","34"
"Fuels Used in Electricity Production","2017","Refinery gas","ktoe","0"
"Fuels Used in Electricity Production","2017","Fuel Oil","ktoe","26"
"Fuels Used in Electricity Production","2017","LPG","ktoe","1"
"Fuels Used in Electricity Production","2017","Gasoil/diesel/DERV","ktoe","7"
"Fuels Used in Electricity Production","2017","Natural gas","ktoe","2423"
"Fuels Used in Electricity Production","2017","Sum of all renewable energies","ktoe","885"
"Fuels Used in Electricity Production","2017","Hydro","ktoe","59"
"Fuels Used in Electricity Production","2017","Wind","ktoe","640"
"Fuels Used in Electricity Production","2017","Biomass","ktoe","138"
"Fuels Used in Electricity Production","2017","Landfill gas","ktoe","39"
"Fuels Used in Electricity Production","2017","Biogas","ktoe","7"
"Fuels Used in Electricity Production","2017","Solar Photovoltaic","ktoe","1"
"Fuels Used in Electricity Production","2017","Non-Renewable Waste","ktoe","56"
"Fuels Used in Electricity Production","2017","Electricity net Imports","ktoe","-58"
"Fuels Used in Electricity Production","2018","Sum of all fuel products","ktoe","4566"
"Fuels Used in Electricity Production","2018","Sum of all coal products","ktoe","489"
"Fuels Used in Electricity Production","2018","Bituminous coal","ktoe","489"
"Fuels Used in Electricity Production","2018","Sum of all peat products","ktoe","473"
"Fuels Used in Electricity Production","2018","Milled peat","ktoe","473"
"Fuels Used in Electricity Production","2018","Sod peat","ktoe","0"
"Fuels Used in Electricity Production","2018","Sum of all petroleum products","ktoe","35"
"Fuels Used in Electricity Production","2018","Refinery gas","ktoe","0"
"Fuels Used in Electricity Production","2018","Fuel Oil","ktoe","26"
"Fuels Used in Electricity Production","2018","LPG","ktoe","1"
"Fuels Used in Electricity Production","2018","Gasoil/diesel/DERV","ktoe","8"
"Fuels Used in Electricity Production","2018","Natural gas","ktoe","2461"
"Fuels Used in Electricity Production","2018","Sum of all renewable energies","ktoe","1020"
"Fuels Used in Electricity Production","2018","Hydro","ktoe","60"
"Fuels Used in Electricity Production","2018","Wind","ktoe","743"
"Fuels Used in Electricity Production","2018","Biomass","ktoe","175"
"Fuels Used in Electricity Production","2018","Landfill gas","ktoe","34"
"Fuels Used in Electricity Production","2018","Biogas","ktoe","7"
"Fuels Used in Electricity Production","2018","Solar Photovoltaic","ktoe","2"
"Fuels Used in Electricity Production","2018","Non-Renewable Waste","ktoe","91"
"Fuels Used in Electricity Production","2018","Electricity net Imports","ktoe","-2"
"Fuels Used in Electricity Production","2019","Sum of all fuel products","ktoe","4480"
"Fuels Used in Electricity Production","2019","Sum of all coal products","ktoe","148"
"Fuels Used in Electricity Production","2019","Bituminous coal","ktoe","148"
"Fuels Used in Electricity Production","2019","Sum of all peat products","ktoe","434"
"Fuels Used in Electricity Production","2019","Milled peat","ktoe","434"
"Fuels Used in Electricity Production","2019","Sod peat","ktoe","0"
"Fuels Used in Electricity Production","2019","Sum of all petroleum products","ktoe","78"
"Fuels Used in Electricity Production","2019","Refinery gas","ktoe","0"
"Fuels Used in Electricity Production","2019","Fuel Oil","ktoe","65"
"Fuels Used in Electricity Production","2019","LPG","ktoe","1"
"Fuels Used in Electricity Production","2019","Gasoil/diesel/DERV","ktoe","12"
"Fuels Used in Electricity Production","2019","Natural gas","ktoe","2521"
"Fuels Used in Electricity Production","2019","Sum of all renewable energies","ktoe","1154"
"Fuels Used in Electricity Production","2019","Hydro","ktoe","76"
"Fuels Used in Electricity Production","2019","Wind","ktoe","862"
"Fuels Used in Electricity Production","2019","Biomass","ktoe","173"
"Fuels Used in Electricity Production","2019","Landfill gas","ktoe","31"
"Fuels Used in Electricity Production","2019","Biogas","ktoe","9"
"Fuels Used in Electricity Production","2019","Solar Photovoltaic","ktoe","3"
"Fuels Used in Electricity Production","2019","Non-Renewable Waste","ktoe","89"
"Fuels Used in Electricity Production","2019","Electricity net Imports","ktoe","55"
"Fuels Used in Electricity Production","2020","Sum of all fuel products","ktoe","4481"
"Fuels Used in Electricity Production","2020","Sum of all coal products","ktoe","195"
"Fuels Used in Electricity Production","2020","Bituminous coal","ktoe","195"
"Fuels Used in Electricity Production","2020","Sum of all peat products","ktoe","214"
"Fuels Used in Electricity Production","2020","Milled peat","ktoe","214"
"Fuels Used in Electricity Production","2020","Sod peat","ktoe","0"
"Fuels Used in Electricity Production","2020","Sum of all petroleum products","ktoe","107"
"Fuels Used in Electricity Production","2020","Refinery gas","ktoe","0"
"Fuels Used in Electricity Production","2020","Fuel Oil","ktoe","95"
"Fuels Used in Electricity Production","2020","LPG","ktoe","0"
"Fuels Used in Electricity Production","2020","Gasoil/diesel/DERV","ktoe","11"
"Fuels Used in Electricity Production","2020","Natural gas","ktoe","2567"
"Fuels Used in Electricity Production","2020","Sum of all renewable energies","ktoe","1318"
"Fuels Used in Electricity Production","2020","Hydro","ktoe","80"
"Fuels Used in Electricity Production","2020","Wind","ktoe","993"
"Fuels Used in Electricity Production","2020","Biomass","ktoe","200"
"Fuels Used in Electricity Production","2020","Landfill gas","ktoe","29"
"Fuels Used in Electricity Production","2020","Biogas","ktoe","10"
"Fuels Used in Electricity Production","2020","Solar Photovoltaic","ktoe","5"
"Fuels Used in Electricity Production","2020","Non-Renewable Waste","ktoe","93"
"Fuels Used in Electricity Production","2020","Electricity net Imports","ktoe","-13"
